,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption
0,3.724,7.37,0.451,50.8,0.718,0.168,0.882
1,4.402,7.54,0.552,51.2,0.679,0.19,0.85
2,4.758,7.647,0.539,51.6,0.6,0.121,0.707
3,3.832,7.62,0.521,51.92,0.496,0.162,0.731
4,3.783,7.705,0.521,52.24,0.531,0.236,0.776
5,3.572,7.725,0.484,52.56,0.578,0.061,0.823
6,3.131,7.718,0.526,52.88,0.509,0.104,0.871
7,3.983,7.702,0.529,53.2,0.389,0.08,0.881
8,4.22,7.697,0.559,53.0,0.523,0.042,0.793
9,2.662,7.697,0.491,52.8,0.427,-0.121,0.954
10,2.694,7.692,0.508,52.6,0.374,-0.094,0.928
11,2.375,7.697,0.42,52.4,0.394,-0.108,0.924
12,4.634,9.142,0.821,65.8,0.529,-0.009,0.875
13,5.485,9.262,0.833,66.2,0.525,-0.158,0.864
14,5.269,9.303,0.733,66.4,0.569,-0.172,0.726
15,5.867,9.331,0.759,66.68,0.487,-0.205,0.877
16,5.51,9.347,0.785,66.96,0.602,-0.169,0.848
17,4.551,9.359,0.759,67.24,0.632,-0.127,0.863
18,4.814,9.378,0.626,67.52,0.735,-0.025,0.883
19,4.607,9.403,0.639,67.8,0.704,-0.081,0.885
20,4.511,9.437,0.638,68.1,0.73,-0.017,0.901
21,4.64,9.476,0.638,68.4,0.75,-0.029,0.876
22,5.004,9.518,0.684,68.7,0.824,0.009,0.899
23,4.995,9.544,0.686,69.0,0.777,-0.099,0.914
24,5.365,9.497,0.71,69.3,0.754,0.007,0.891
26,5.317,9.297,0.81,64.66,0.53,-0.181,0.638
27,5.605,9.311,0.839,64.82,0.587,-0.172,0.69
30,5.249,9.354,0.807,65.7,0.437,-0.167,0.7
31,5.043,9.348,0.799,65.9,0.583,-0.146,0.759
32,4.745,9.337,0.803,66.1,0.385,0.005,0.741
33,5.589,8.946,0.723,52.5,0.584,0.055,0.911
34,4.36,8.992,0.753,53.2,0.456,-0.136,0.906
35,3.937,9.005,0.722,53.9,0.41,-0.104,0.816
36,3.795,9.017,0.755,54.6,0.375,-0.168,0.834
37,6.313,9.942,0.938,66.82,0.733,-0.157,0.852
38,6.073,10.018,0.862,66.94,0.653,-0.141,0.881
39,5.961,10.048,0.892,67.06,0.678,-0.132,0.865
40,6.424,9.977,0.919,67.18,0.637,-0.13,0.885
41,6.441,10.066,0.927,67.3,0.73,-0.126,0.855
42,6.776,10.112,0.889,67.48,0.816,-0.174,0.755
43,6.468,10.091,0.902,67.66,0.747,-0.148,0.817
44,6.582,10.103,0.91,67.84,0.737,-0.13,0.823
45,6.671,10.067,0.918,68.02,0.745,-0.164,0.854
46,6.697,10.083,0.926,68.2,0.881,-0.174,0.851
47,6.427,10.051,0.883,68.4,0.848,-0.192,0.851
48,6.039,10.067,0.907,68.6,0.832,-0.186,0.841
49,5.793,10.032,0.9,68.8,0.846,-0.211,0.855
50,6.086,10.0,0.896,69.0,0.817,-0.211,0.83
51,5.901,9.85,0.897,69.2,0.823,-0.122,0.816
52,4.289,9.044,0.682,64.8,0.52,-0.231,0.85
53,4.882,9.181,0.76,64.9,0.605,-0.251,0.817
54,4.652,9.256,0.709,65.0,0.462,-0.215,0.876
55,4.178,9.111,0.68,65.1,0.441,-0.214,0.882
56,4.368,9.136,0.66,65.2,0.459,-0.176,0.891
57,4.26,9.182,0.705,65.36,0.465,-0.225,0.875
58,4.32,9.249,0.676,65.52,0.502,-0.215,0.893
59,4.277,9.277,0.723,65.68,0.504,-0.195,0.9
60,4.453,9.307,0.739,65.84,0.506,-0.218,0.92
61,4.348,9.334,0.723,66.0,0.551,-0.203,0.901
62,4.325,9.333,0.709,66.3,0.611,-0.17,0.921
63,4.288,9.402,0.698,66.6,0.614,-0.147,0.865
64,5.062,9.451,0.814,66.9,0.808,-0.163,0.677
65,5.488,9.522,0.782,67.2,0.844,-0.172,0.583
67,7.285,10.703,0.965,71.72,0.891,0.347,0.513
68,7.254,10.719,0.947,71.88,0.916,0.305,0.431
69,7.45,10.722,0.955,72.2,0.932,0.317,0.366
70,7.406,10.733,0.967,72.3,0.945,0.369,0.382
71,7.196,10.754,0.945,72.4,0.935,0.274,0.368
72,7.364,10.762,0.928,72.5,0.933,0.269,0.432
73,7.289,10.772,0.924,72.6,0.923,0.319,0.442
74,7.309,10.779,0.952,72.7,0.922,0.332,0.357
75,7.25,10.791,0.942,73.0,0.922,0.239,0.399
76,7.257,10.798,0.95,73.3,0.911,0.317,0.411
77,7.177,10.811,0.94,73.6,0.916,0.146,0.405
78,7.234,10.815,0.943,73.9,0.918,0.121,0.43
79,7.137,10.76,0.937,74.2,0.905,0.21,0.491
80,7.122,10.842,0.936,70.76,0.941,0.302,0.49
81,7.181,10.887,0.935,71.08,0.879,0.291,0.614
82,7.303,10.861,0.914,71.4,0.896,0.131,0.546
83,7.471,10.887,0.944,71.54,0.939,0.132,0.703
84,7.401,10.889,0.945,71.68,0.92,0.118,0.771
85,7.499,10.883,0.95,71.82,0.922,0.168,0.679
86,6.95,10.882,0.899,71.96,0.885,0.118,0.567
87,7.076,10.881,0.928,72.1,0.9,0.099,0.557
88,7.048,10.891,0.926,72.4,0.889,0.08,0.524
89,7.294,10.908,0.906,72.7,0.89,0.133,0.518
90,7.396,10.928,0.912,73.0,0.904,0.053,0.523
91,7.195,10.939,0.964,73.3,0.903,0.06,0.457
92,7.213,10.851,0.925,73.6,0.912,0.011,0.464
93,4.728,9.17,0.854,61.88,0.772,-0.235,0.774
94,4.568,9.386,0.753,62.26,0.522,-0.207,0.871
95,4.817,9.465,0.684,62.64,0.601,-0.029,0.715
96,4.574,9.534,0.736,63.02,0.498,-0.087,0.754
97,4.219,9.569,0.687,63.4,0.501,-0.123,0.858
98,4.68,9.54,0.725,63.64,0.537,-0.105,0.795
99,4.911,9.549,0.762,63.88,0.599,-0.14,0.763
100,5.481,9.592,0.77,64.12,0.672,-0.168,0.699
101,5.252,9.607,0.799,64.36,0.733,-0.208,0.654
102,5.147,9.606,0.786,64.6,0.764,-0.198,0.616
103,5.304,9.564,0.777,64.9,0.713,-0.204,0.607
104,5.152,9.555,0.787,65.2,0.731,-0.225,0.653
105,5.168,9.562,0.781,65.5,0.772,-0.232,0.561
106,5.173,9.575,0.887,65.8,0.854,-0.214,0.457
107,5.701,10.709,0.904,65.94,0.896,0.037,0.506
108,5.937,10.706,0.877,66.3,0.862,-0.001,0.715
109,4.824,10.696,0.908,66.58,0.87,-0.051,0.583
118,4.319,7.783,0.672,59.02,0.612,0.068,0.786
119,4.607,7.839,0.514,59.44,0.605,0.04,0.806
120,5.052,7.886,0.467,59.86,0.606,-0.044,0.802
121,5.083,7.924,0.528,60.28,0.631,-0.075,0.776
122,4.858,7.967,0.549,60.7,0.659,-0.016,0.774
123,4.986,8.018,0.606,61.12,0.838,-0.069,0.757
124,4.724,8.07,0.582,61.54,0.668,-0.034,0.765
125,4.66,8.116,0.53,61.96,0.742,-0.016,0.743
127,4.633,8.216,0.601,62.8,0.815,-0.068,0.721
128,4.556,8.274,0.649,63.3,0.875,-0.089,0.688
129,4.31,8.334,0.713,63.8,0.896,0.012,0.635
130,4.499,8.399,0.706,64.3,0.901,-0.043,0.701
131,5.114,8.467,0.673,64.8,0.902,-0.051,0.656
132,5.28,8.472,0.739,65.3,0.777,-0.009,0.742
133,5.658,9.489,0.918,61.1,0.707,-0.246,0.708
134,5.617,9.576,0.858,61.4,0.667,-0.225,0.695
136,5.564,9.681,0.908,62.0,0.679,-0.203,0.676
137,5.526,9.758,0.918,62.3,0.7,-0.163,0.706
138,5.225,9.812,0.91,62.88,0.656,-0.168,0.672
139,5.749,9.83,0.902,63.46,0.645,-0.217,0.657
140,5.876,9.839,0.923,64.04,0.723,-0.177,0.653
141,5.812,9.856,0.88,64.62,0.647,-0.048,0.682
142,5.719,9.815,0.924,65.2,0.623,-0.091,0.669
143,5.178,9.788,0.927,65.5,0.658,-0.125,0.664
144,5.553,9.814,0.9,65.8,0.621,-0.122,0.654
145,5.234,9.846,0.905,66.1,0.644,-0.174,0.718
146,5.821,9.86,0.917,66.4,0.657,-0.186,0.546
148,7.219,10.792,0.922,70.26,0.901,0.069,0.721
149,7.117,10.789,0.923,70.44,0.887,0.007,0.652
150,6.854,10.779,0.931,70.8,0.807,0.022,0.697
151,7.111,10.783,0.937,70.92,0.88,-0.014,0.711
152,6.935,10.784,0.927,71.04,0.855,-0.05,0.758
153,7.104,10.784,0.909,71.16,0.891,0.017,0.574
154,6.855,10.795,0.944,71.28,0.861,0.001,0.512
155,6.904,10.81,0.885,71.4,0.869,0.062,0.469
156,6.949,10.819,0.929,71.6,0.866,-0.056,0.497
157,6.928,10.834,0.922,71.8,0.857,0.054,0.543
158,6.892,10.844,0.93,72.0,0.808,-0.125,0.63
159,6.772,10.853,0.884,72.2,0.776,-0.172,0.672
160,6.839,10.771,0.904,72.4,0.767,-0.164,0.634
161,6.451,8.892,0.872,61.6,0.705,0.033,0.769
162,5.956,8.883,0.757,62.22,0.874,0.022,0.782
163,3.33,7.866,0.445,50.1,0.58,-0.011,0.79
164,3.667,7.915,0.382,50.9,0.709,-0.004,0.825
165,3.87,7.904,0.477,51.98,0.773,-0.142,0.849
166,3.193,7.923,0.523,52.26,0.769,-0.111,0.806
167,3.479,7.964,0.577,52.54,0.783,-0.085,0.856
168,3.347,7.998,0.506,52.82,0.776,-0.096,0.855
169,3.625,7.988,0.434,53.1,0.733,-0.027,0.85
170,4.007,7.993,0.493,53.5,0.78,-0.065,0.838
171,4.853,8.021,0.436,53.9,0.727,-0.065,0.767
172,5.82,8.059,0.504,54.3,0.713,0.002,0.747
173,4.976,8.098,0.442,54.7,0.77,-0.016,0.698
174,4.408,8.102,0.507,55.1,0.783,-0.083,0.532
175,5.569,9.123,0.819,59.6,0.81,0.353,0.802
176,4.939,9.167,0.88,59.9,0.834,0.268,0.65
177,5.082,9.219,0.848,60.2,0.83,0.277,0.634
178,5.374,8.686,0.834,59.0,0.77,-0.044,0.794
179,5.628,8.714,0.796,59.5,0.78,0.001,0.817
180,5.298,8.756,0.785,60.0,0.726,-0.092,0.801
181,6.086,8.773,0.831,60.5,0.779,-0.036,0.763
182,5.781,8.797,0.807,61.0,0.703,-0.068,0.781
183,5.779,8.831,0.817,61.34,0.782,-0.039,0.825
184,6.019,8.865,0.781,61.68,0.862,-0.015,0.84
185,5.767,8.915,0.803,62.02,0.846,-0.067,0.812
186,5.865,8.953,0.821,62.36,0.881,0.018,0.832
187,5.834,8.985,0.829,62.7,0.884,-0.03,0.862
188,5.77,9.012,0.796,63.0,0.882,-0.047,0.853
189,5.651,9.039,0.779,63.3,0.884,-0.12,0.819
190,5.916,9.066,0.827,63.6,0.863,-0.093,0.786
191,5.674,9.074,0.784,63.9,0.881,-0.086,0.857
192,5.559,8.998,0.805,64.2,0.877,-0.054,0.868
193,4.9,9.267,0.766,66.04,0.342,0.006,0.926
194,4.963,9.296,0.735,66.48,0.258,-0.026,0.959
195,4.669,9.312,0.773,66.7,0.365,-0.128,0.933
196,4.995,9.333,0.725,66.74,0.333,-0.035,0.925
197,4.773,9.342,0.779,66.78,0.42,-0.013,0.953
198,5.124,9.382,0.767,66.82,0.39,0.042,0.97
199,5.249,9.411,0.788,66.86,0.412,0.232,0.976
200,5.117,9.457,0.656,66.9,0.631,-0.055,0.96
201,5.181,9.5,0.808,67.2,0.633,0.134,0.957
202,5.09,9.532,0.775,67.5,0.564,0.092,0.923
203,5.887,9.576,0.836,67.8,0.659,0.123,0.913
204,6.016,9.609,0.873,68.1,0.722,0.079,0.963
205,5.516,9.583,0.899,68.4,0.74,0.138,0.916
206,4.739,9.492,0.883,46.82,0.824,-0.195,0.723
207,5.451,9.59,0.832,49.86,0.858,-0.164,0.806
208,3.553,9.556,0.866,52.9,0.826,-0.143,0.814
209,3.52,9.6,0.86,53.68,0.813,-0.25,0.816
210,4.836,9.632,0.837,54.46,0.799,-0.203,0.814
211,4.128,9.728,0.856,55.24,0.767,-0.154,0.749
212,4.031,9.756,0.859,56.02,0.791,-0.105,0.743
213,3.762,9.724,0.816,56.8,0.857,-0.116,0.86
214,3.499,9.748,0.768,57.5,0.852,-0.253,0.729
